N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N30	N31	N32
ENSG00000000003	15	9	0	24	8	0	1	18	9	11	1	3	0	2	20	1	4	9	2	15	0	7	1	8	5	2	1	8	8	4	2	2
ENSG00000000005	5	1	1	0	0	2	0	2	3	0	0	0	3	0	8	0	0	5	0	6	0	2	2	3	0	7	0	9	9	0	14	2
ENSG00000000419	10	0	1	0	2	1	0	0	0	0	0	0	1	0	4	0	1	3	0	3	0	2	1	2	10	0	1	2	5	4	2	4
ENSG00000000457	7	5	9	8	12	4	18	0	2	13	0	1	2	4	17	3	4	10	14	16	8	19	4	8	28	5	15	3	5	5	2	10
ENSG00000000460	6	14	0	8	6	1	0	8	8	13	4	3	2	3	34	4	20	19	15	15	1	14	18	2	12	10	30	7	3	9	10	13
ENSG00000000938	7	1	5	4	0	2	7	3	3	2	2	1	20	0	1	1	5	1	1	2	1	5	2	0	2	5	6	1	4	2	5	6
ENSG00000000971	21	4	0	0	14	14	1	10	17	10	36	10	0	3	13	5	2	9	15	17	15	7	10	3	12	18	25	14	3	3	11	14
ENSG00000001036	3	2	0	0	0	9	0	7	1	3	12	4	2	0	2	0	10	4	10	3	0	2	8	1	6	4	3	9	2	0	2	8
ENSG00000001084	16	9	16	2	0	11	0	10	3	4	32	3	4	9	43	3	0	19	11	8	9	12	6	8	19	11	20	10	7	13	5	15
ENSG00000001167	3	7	0	2	3	10	0	0	3	1	6	13	2	0	7	5	4	10	7	4	1	4	2	12	3	1	3	12	3	1	2	11
ENSG00000001460	11	7	6	7	11	8	20	5	13	2	30	2	4	9	5	11	11	25	21	31	3	5	6	9	15	4	17	12	7	14	6	16
ENSG00000001461	25	18	3	1	13	3	5	12	11	10	5	7	20	6	16	11	9	6	4	21	5	10	18	11	18	19	10	11	2	2	6	14
ENSG00000001497	8	2	16	4	14	4	0	7	5	0	0	4	1	0	14	0	4	2	3	10	3	14	8	3	5	3	0	6	2	9	4	9
ENSG00000001561	11	4	15	9	5	10	0	6	10	7	0	3	1	0	4	1	8	2	2	10	2	2	4	13	4	4	30	11	11	0	5	3
ENSG00000001617	9	4	0	0	3	1	0	1	3	12	11	0	2	3	4	16	6	3	2	1	7	5	10	1	3	9	12	0	1	5	3	9
ENSG00000001626	23	17	16	20	15	4	2	17	7	8	21	20	11	8	30	14	11	33	7	29	8	13	27	5	28	14	24	22	31	4	12	13
ENSG00000001629	17	5	0	16	8	7	13	4	12	17	7	12	11	7	9	4	0	9	24	14	3	9	11	23	24	15	21	2	4	17	4	18
ENSG00000001630	2	0	2	0	1	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
ENSG00000001631	5	0	0	0	7	7	1	10	10	17	17	10	20	0	3	2	3	26	8	12	7	7	9	1	4	13	24	9	4	2	1	11
ENSG00000002016	2	2	6	1	16	2	0	3	3	3	7	0	10	22	7	2	5	4	5	13	3	1	0	5	2	5	3	6	28	7	1	0
ENSG00000002079	24	15	16	8	1	31	6	21	14	6	15	6	11	11	5	8	5	18	8	11	1	9	18	18	10	20	10	19	2	3	1	15
ENSG00000002330	2	0	0	4	0	6	0	0	0	0	0	0	0	1	0	3	1	2	8	0	0	1	1	0	1	0	0	1	0	0	0	3
ENSG00000002549	14	4	0	10	3	6	5	6	5	0	3	3	7	14	14	2	5	24	2	10	4	5	1	3	13	5	10	2	11	0	9	12
ENSG00000002586	1	14	8	8	2	1	0	1	15	7	11	1	16	5	20	11	10	6	11	14	3	7	7	7	6	13	5	3	11	17	12	10
ENSG00000002587	14	19	0	7	10	2	0	13	11	14	2	3	2	7	3	7	6	12	20	22	15	6	18	14	6	21	8	2	9	26	11	7
ENSG00000002726	10	6	12	1	1	4	1	2	3	0	0	3	2	5	1	4	1	4	0	13	6	1	4	2	0	1	8	12	6	10	0	4
ENSG00000002745	6	0	3	0	1	13	0	0	3	4	1	1	4	0	4	0	3	2	4	2	1	6	6	0	5	3	9	6	13	1	3	0
ENSG00000002746	27	5	5	28	14	17	5	6	21	8	41	12	5	2	40	16	12	13	11	12	15	15	25	15	31	12	22	26	14	20	7	20
ENSG00000002822	8	32	10	24	7	18	9	22	12	6	5	10	4	8	1	7	5	12	2	8	3	5	11	17	3	13	15	7	10	14	1	9
ENSG00000002834	12	11	0	0	19	8	2	20	5	1	0	3	4	7	9	4	1	11	0	4	1	5	7	1	3	3	4	6	2	7	2	9
ENSG00000002919	2	4	2	3	2	0	2	1	2	4	20	16	2	3	2	0	6	6	3	6	4	3	10	1	5	5	3	2	5	8	22	2
ENSG00000002933	2	15	0	0	0	2	0	0	7	1	4	1	0	1	2	12	0	0	3	2	4	2	0	4	2	1	3	1	1	2	4	4
ENSG00000003056	11	15	11	4	5	6	0	0	3	1	7	0	3	1	3	2	2	5	4	3	3	1	2	3	3	1	4	2	4	0	7	8
ENSG00000003096	15	20	0	7	0	2	1	10	1	7	0	0	2	7	12	1	6	6	0	9	2	3	10	6	8	1	1	27	9	13	4	9
ENSG00000003137	9	3	32	7	5	4	0	1	2	0	5	3	1	3	5	1	4	6	2	10	7	2	6	1	5	2	6	8	1	13	5	8
ENSG00000003147	15	8	4	12	0	10	9	6	14	2	2	1	20	1	14	8	13	9	8	16	3	21	13	6	16	18	7	10	7	2	2	21
ENSG00000003249	7	17	0	0	2	0	2	1	6	1	10	3	0	0	4	23	8	8	2	8	4	4	4	1	5	5	1	3	4	17	4	6
ENSG00000003393	34	15	13	9	21	34	2	30	15	8	18	8	14	15	11	4	6	18	15	20	11	25	20	16	18	9	38	33	26	15	18	8
ENSG00000003400	28	9	0	4	7	22	0	7	16	2	28	0	0	7	11	12	4	26	19	22	14	7	12	13	15	17	20	6	21	17	4	17
ENSG00000003402	19	48	0	31	17	57	18	7	15	30	19	10	15	9	15	25	27	21	17	27	14	16	10	21	25	18	43	17	22	9	13	27
ENSG00000003436	14	11	16	2	16	10	0	5	18	30	18	12	25	11	6	17	5	19	18	22	8	22	12	22	30	18	25	8	38	15	0	15
ENSG00000003509	9	1	12	0	17	4	1	19	12	1	15	0	1	0	3	2	2	17	1	7	0	5	2	1	9	4	1	12	1	5	7	3
ENSG00000003756	15	8	3	1	8	6	0	8	22	11	5	8	3	8	3	7	8	20	3	20	3	9	22	8	21	5	33	6	14	15	6	15
ENSG00000003987	17	0	2	0	13	0	10	15	10	2	23	0	4	0	6	6	19	14	5	6	8	4	4	0	10	5	0	10	8	12	2	9
ENSG00000003989	10	31	0	1	25	3	2	10	28	6	24	4	11	7	31	11	3	20	16	20	5	11	8	15	22	18	11	19	23	7	2	18
ENSG00000004059	3	0	0	0	0	0	0	10	0	0	2	2	4	0	0	4	0	0	0	1	0	0	1	1	0	0	2	1	0	2	0	0
ENSG00000004139	15	26	0	2	6	2	3	0	2	17	6	5	0	3	3	3	6	10	3	7	1	4	20	3	9	19	2	1	8	4	2	8
ENSG00000004142	4	3	0	0	0	0	1	1	5	1	3	0	0	1	1	1	5	0	2	4	1	9	0	1	6	4	3	4	0	8	1	3
ENSG00000004399	13	28	2	16	22	19	4	1	20	1	2	3	1	6	7	8	2	13	21	15	1	9	16	6	17	2	4	10	3	8	30	10
ENSG00000004455	12	15	5	11	9	0	2	12	11	4	8	6	8	6	4	7	5	11	16	19	2	5	2	6	23	2	12	4	9	6	14	11
ENSG00000004468	12	12	15	14	4	11	4	12	10	1	3	2	3	2	11	5	11	8	22	8	3	10	15	4	28	11	13	12	9	2	12	9
ENSG00000004478	5	6	0	5	0	0	4	2	8	5	10	2	1	0	7	2	4	1	3	6	4	1	8	1	8	4	4	14	3	5	3	2
ENSG00000004487	15	2	1	13	1	6	4	5	12	8	24	5	20	0	8	14	13	16	22	12	8	3	6	5	6	4	18	8	12	13	10	7
ENSG00000004534	4	9	3	16	24	10	1	13	14	9	8	2	1	0	19	4	3	24	3	15	15	17	14	19	29	16	10	13	11	13	8	11
ENSG00000004660	7	7	5	6	1	3	0	13	15	1	9	5	10	7	5	3	15	8	6	10	2	9	11	0	7	1	6	2	4	5	12	8
ENSG00000004700	5	1	0	1	4	3	10	3	0	2	0	2	4	0	5	1	0	8	2	7	1	6	0	0	3	4	6	4	2	4	11	3
ENSG00000004766	23	11	1	8	43	10	21	4	4	21	20	6	5	0	13	6	36	24	16	20	23	24	12	13	32	24	14	5	12	7	5	29
ENSG00000004776	1	0	30	5	0	0	0	0	0	0	0	2	0	0	0	1	1	6	0	0	0	0	0	3	0	0	2	0	0	0	3	1
ENSG00000004777	4	1	1	8	1	0	6	9	4	3	1	0	0	0	2	6	1	4	0	4	3	0	0	3	3	8	4	8	2	2	0	2
ENSG00000004779	6	5	0	0	0	2	0	0	0	0	1	2	2	3	0	2	13	1	1	8	0	0	2	1	7	0	6	3	0	5	0	4
ENSG00000004799	11	3	1	14	9	3	0	0	3	0	1	4	25	4	5	2	5	14	15	14	0	6	4	19	11	6	4	3	4	2	3	4
ENSG00000004809	14	0	3	0	7	24	2	0	4	2	3	6	6	6	6	1	2	20	3	5	6	6	4	3	8	10	8	13	0	6	2	2
ENSG00000004838	10	28	5	1	9	1	5	0	6	0	6	0	1	6	2	0	2	1	1	3	0	3	2	0	0	2	5	1	1	9	4	0
ENSG00000004846	21	5	16	26	3	5	15	6	20	6	10	4	4	0	8	34	13	42	12	30	18	11	7	19	21	26	21	20	25	11	7	26
ENSG00000004848	3	3	0	1	0	1	1	1	1	1	15	0	2	6	9	1	11	0	0	1	0	4	0	1	9	3	13	2	1	12	0	1
ENSG00000004864	18	0	4	27	5	22	1	5	4	3	0	3	1	5	14	5	12	4	13	11	3	6	5	12	17	9	15	5	5	2	1	10
ENSG00000004866	10	8	8	1	0	11	2	12	4	18	11	2	4	7	3	21	4	3	14	9	2	7	15	8	21	5	15	2	9	18	8	19
ENSG00000004897	19	8	0	6	12	15	11	19	6	7	13	2	9	24	13	15	0	9	4	5	7	15	32	2	11	10	18	11	7	5	7	7
ENSG00000004939	5	6	34	39	0	14	0	8	15	5	28	6	2	28	10	16	5	1	21	12	12	3	6	3	5	9	6	4	2	6	14	12
ENSG00000004948	27	1	2	15	2	5	1	3	2	3	4	0	1	3	0	1	1	6	6	15	4	4	2	4	13	4	5	1	9	2	7	9
ENSG00000004961	5	0	0	1	7	0	0	2	4	8	0	0	2	1	19	0	5	4	0	17	1	4	3	1	3	2	0	7	1	7	0	3
ENSG00000004975	3	0	0	2	4	5	1	6	9	1	2	7	4	1	1	0	2	3	5	9	0	1	2	4	7	3	2	0	12	1	2	7
ENSG00000005001	9	0	0	0	0	0	3	12	1	3	1	2	0	1	1	0	8	3	0	3	0	3	2	1	3	1	0	1	0	1	0	4
