N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N30	N31	N32
ENSG00000000003	26.4321477117093	17.2608953309158	0	69.7951654060016	19.331551941356	0	2.92834063490672	53.4673027116921	14.9977268166777	25.8168138651472	1.3173409618124	8.3459235054957	0	5.77231695943554	37.5349266926023	2.4010892113855	9.33475100933185	16.7882218364917	4.50346700079555	25.9815909835865	0	17.246803673413	2.26285832547227	20.1264313727141	9.22578804605091	4.70764330718465	2.11303466458258	20.4528868870727	16.5814539843646	9.34037745732574	5.07403720349437	4.1097993319586
ENSG00000000005	24.8177618783854	5.40221948417552	7.55763959099484	0	0	14.3309525813098	0	16.7339004691183	14.0817165866736	0	0	0	16.1659363906153	0	42.2909049816029	0	0	26.2714237503416	0	29.2736683504509	0	13.8800806848141	12.7479037341823	21.259324442995	0	46.4112226045269	0	64.8124672589963	52.544413382907	0	100.046777034117	11.5763602300821
ENSG00000000419	66.2081137103571	0	10.0810271263477	0	18.1583653798777	9.5579261209233	0	0	0	0	0	0	7.18783694805042	0	28.2056159985007	0	8.76824685735707	21.0258453544573	0	19.5238633157522	0	18.5144406814837	8.50212303729639	18.9050054422656	69.3271728066957	0	7.93919818051532	19.2116491368837	38.9379110496549	35.0941273976572	19.0644231299478	30.8830819725472
ENSG00000000457	8.12715898211256	6.31815586918683	15.9102422887571	15.328639407052	19.105460130913	6.70429570126655	34.7291073699602	0	2.19589943382677	20.10262783696	0	1.83295864678304	2.52091215931915	7.60640924336487	21.0210313334751	4.74601463328487	6.150384400308	12.2902781455906	20.7703849978577	18.2597146764399	16.2423697511657	30.8435034249938	5.96371495337309	13.2606953763269	34.0401152429913	7.75430858567572	20.883217064976	5.05342013109516	6.8281357891811	7.69261437036398	3.34312926308978	13.539110831347
ENSG00000000460	8.03551465544505	20.4065740193257	0	17.6817538191284	11.0191789912078	1.93336967118392	0	18.060385289278	10.1319764055838	23.1886018772911	4.00478717065141	6.343013758576	2.90789984792923	6.58055741856214	48.4959807837469	7.29943996891788	35.4726795938662	26.9362444284548	25.6702147418399	19.7463574845927	2.3419689751398	26.2156040418729	30.956447981951	3.82408941994547	16.828134253933	17.889360145871	48.178040240734	13.6014097165687	4.72579775132564	15.9723272130363	19.2816815131951	20.3027668523227
ENSG00000000938	16.1022554041107	2.5036192773525	17.5126651432091	15.1852367643551	0	6.64157560619138	26.7588294344024	11.632806457375	6.52606899958102	6.1275580090251	3.43934442246358	3.63162186695673	49.9465699268674	0	2.44992649037063	3.13440977939932	15.23211565462	2.43506000219056	2.93943909738167	4.52222280217097	4.0226047422738	16.0815557732806	5.90792314681448	0	4.81738040170879	15.3635307988503	16.5502801448739	3.33742954925427	10.8228114304971	6.09651867716929	16.5592679316688	16.0949395254165
ENSG00000000971	20.6037698982986	4.27136813727322	0	0	18.8360993363519	19.8293229700874	1.63045116995727	16.5387229928057	15.7731361971457	13.0676098976999	26.4050442511348	15.4895695098928	0	4.82089455083613	13.5842332913589	6.68443190523833	2.59871674814733	9.34740159956907	18.8059142252374	16.3949315070972	25.7357806163153	9.60273230926062	12.5992173186209	4.2022728487688	12.3282353705608	23.5902346940137	29.4125604784591	19.9286953416244	3.46210376699326	3.90042465644311	15.5382655553295	16.0178735166391
ENSG00000001036	8.58358681508067	6.22812271358582	0	0	0	37.1742754928714	0	33.7613781394492	2.70576007931071	11.4324041478803	25.6676316297282	18.0683915013357	6.21247346673603	0	6.09455397604553	0	37.8921373320085	12.1151427821124	36.5614444121157	8.43727283283672	0	8.00104901630891	29.393662745483	4.08491614192886	17.9759178469778	15.2876207648281	10.2928165455231	37.3605700991708	6.7308354653682	0	8.23872492583136	26.6923594277583
ENSG00000001084	15.1082487530948	9.24945767762062	23.0042296897114	3.11671467088323	0	14.9947518737444	0	15.9172750533383	2.67890389986346	5.03063606838077	22.5892142713241	4.47226315696833	4.10054079938408	13.9192435719817	43.2441118970278	3.85995731075266	0	18.9919142744405	13.2728022766564	7.42535839051966	14.8612501325691	15.8432682754702	7.27547855797004	10.7849895161596	18.7862466498399	13.8745590440096	22.6458990993312	13.6999057711324	7.77469952637444	16.2667479911568	6.79745915096508	16.5171392860974
ENSG00000001167	6.29072631186574	15.9756005212958	0	6.92121654675539	8.6265338547018	30.2713640198227	0	0	5.94898024259892	2.79285443759554	9.40562780659025	43.0362914603778	4.55298829509151	0	15.6329867207644	14.2861972889442	11.1081332530359	22.1973194636841	18.7565678221274	8.24466125150457	3.66689290859596	11.7275937562586	5.3854959359836	35.9249670461526	6.58708193999069	2.80099218027846	7.54338404923799	36.5076785749966	7.39932699610603	2.77870714831883	6.0379844444626	26.8981028174698
